No,科目,種類,プロジェクト,タスク,問題文,解答操作
1,Word365,新教材,1,1,編集記号を非表示にしてください。非表示にした後、再度編集記号を表示してください。,［ホーム］タブ↓［編集記号の表示/非表示］をクリック（非表示）↓再度、［編集記号の表示/非表示］をクリック（表示）
2,Word365,新教材,1,2,見出し「CSR活動のメリット」の下の「社員のコンプライアンス意識の確立」から3つの段落を箇条書きにしてください。,「社員のコンプライアンス意識の確立」から3つの段落を選択↓［ホーム］タブ↓［箇条書き］をクリック
3,Word365,新教材,1,3,画像の左の段落にスタイル「参照２」を設定してください。,画像の左の段落を選択↓［ホーム］タブ↓［スタイル］グループの棒付き下矢印をクリック↓「参照2」を選択
4,Word365,新教材,1,4,見出し「第２節　会社の社会的責任の定義と問題点」内の小見出し「日本におけるCSR活動」のスタイルを「見出し２」に変更してください。,「日本におけるCSR活動」を選択↓［ホーム］タブ↓［スタイル］グループの棒付き下矢印をクリック↓「見出し2」を選択
5,Word365,新教材,1,5,見出し「第１節　はじめに」の下にある「会社の社会的責任」に設定されている書式をすべてクリアしてください。,「会社の社会的責任」の文字列を選択↓［ホーム］タブ↓［すべての書式をクリア］をクリック
6,Word365,新教材,2,1,「青空文庫のURLはコチラ↓」の文字列を切り取って、見出し「朗読を楽しみましょう！」の下の段落に貼り付けます。,「青空文庫のURLはコチラ↓」を選択↓［ホーム］タブ↓［切り取り］をクリック↓「朗読を楽しみましょう！」の下の段落をクリック↓［貼り付け］をクリック
7,Word365,新教材,2,2,見出し「方法」の下にある箇条書きのレベルを「3」に変更します。,「青空文庫から･･･」から「ネット上で･･･」の３段落を選択↓［ホーム］タブ↓［箇条書き］の下矢印をクリック↓［リストのレベルの変更］をポイント↓［レベル3］を選択
8,Word365,新教材,2,3,文書内の「朗読を楽しみましょう！」の文字の色を「青、アクセント1、黒+基本色25％」に変更します。,「朗読を楽しみましょう！」を選択↓［ホーム］タブ↓［フォントの色］の   をクリック↓「青、アクセント1、黒+基本色25％」を選択
9,Word365,新教材,2,4,文書の一番下の図形に、「いつでもご参加ください」と入力します。,図形を選択↓「いつでもご参加ください」と入力↓図形の選択を解除
10,Word365,新教材,2,5,テキストボックス内の文字列を15ptの斜体にします。,テキストボックスを選択↓［ホーム］タブ↓［フォントサイズ］をクリックし、「15」と入力↓［Enter］キー↓［斜体］をクリック
11,Word365,新教材,3,1,文書の余白を「やや狭い」に設定します。,［レイアウト］タブ↓［余白］をクリック↓［やや狭い］を選択
12,Word365,新教材,3,2,見出し「参考文献一覧」の先頭にセクション区切りを挿入し、次のページから始まるように設定します。,「参考文献一覧」の先頭をクリック↓［レイアウト］タブ↓［区切り］をクリック↓［次のページから開始］を選択
